epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1461,3.0894,5.37801,2.66329,0.0011,0.02,0.00367,0.0015,2.88344,6.0559,2.54965,0.00014443,0.00014443,0.00014443
2,150.934,2.88165,5.09109,2.44985,0.0013,0.02,0.00534,0.00202,3.13942,6.33463,2.87818,0.000294031,0.000294031,0.000294031
3,222.347,2.92875,4.89911,2.37324,0.00113,0.02,0.0021,0.00105,3.28608,6.41494,2.57819,0.000437472,0.000437472,0.000437472
4,296.201,2.86112,4.65276,2.30382,0.00072,0.02,0.00071,0.00012,3.39592,6.20136,2.98148,0.000574754,0.000574754,0.000574754
5,367.496,2.89812,4.77922,2.30483,0.00074,0.02,0.00305,0.00067,3.29957,5.99852,2.92717,0.000705876,0.000705876,0.000705876
6,438.673,2.93038,4.57821,2.30928,0.61431,0.01333,0.00399,0.00125,3.51986,5.82146,2.75052,0.000830839,0.000830839,0.000830839
7,509.918,2.81191,4.47617,2.2513,0.00058,0.08333,0.0005,0.00025,3.46478,5.75267,2.50952,0.000949643,0.000949643,0.000949643
8,581.641,2.79314,4.3695,2.24346,0.00051,0.09,0.00041,0.00015,3.26283,7.13825,2.8026,0.000957015,0.000957015,0.000957015
9,656.151,2.7396,4.32375,2.17827,0.60955,0.01333,0.00097,0.00041,3.27136,12.8841,2.71916,0.000935018,0.000935018,0.000935018
10,730.925,2.83586,4.34638,2.19869,0.44406,0.05,0.01661,0.0017,3.22814,7.8992,2.77288,0.00091302,0.00091302,0.00091302
11,801.446,2.80153,4.29001,2.25949,0.40299,0.01333,0.00059,0.00018,3.21366,14.4007,2.58272,0.000891022,0.000891022,0.000891022
12,870.502,2.76395,4.36281,2.20075,0.61038,0.06333,0.00554,0.00095,2.95162,6.68841,2.55227,0.000869024,0.000869024,0.000869024
13,941.547,2.76326,4.23191,2.14483,0.63082,0.05667,0.01222,0.00659,3.09651,8.54223,2.45587,0.000847026,0.000847026,0.000847026
14,1011.7,2.61544,4.09957,2.09572,0.61093,0.01333,0.00292,0.00123,3.28891,8.16204,2.47459,0.000825029,0.000825029,0.000825029
15,1081.8,2.77094,4.11366,2.13116,0.60555,0.02,0.00106,0.00047,3.27675,7.28779,2.46707,0.000803031,0.000803031,0.000803031
16,1151.38,2.70199,4.10272,2.06369,0.61211,0.06333,0.00638,0.00191,3.22135,4.96414,2.39694,0.000781033,0.000781033,0.000781033
17,1225.61,2.68764,4.01426,2.05731,0.00148,0.24667,0.00213,0.00065,3.24763,5.10425,2.29718,0.000759035,0.000759035,0.000759035
18,1295.94,2.65379,3.98341,2.04358,0.00178,0.22667,0.00325,0.0012,3.19388,4.99021,2.27798,0.000737037,0.000737037,0.000737037
19,1362.78,2.68304,3.93115,2.06965,0.86272,0.00667,0.01265,0.00791,3.21614,5.1432,2.41535,0.00071504,0.00071504,0.00071504
20,1432.71,2.53561,3.84149,1.94144,0.6495,0.05,0.02774,0.00404,3.17961,5.13276,2.35825,0.000693042,0.000693042,0.000693042
21,1501.94,2.6263,3.75504,2.01439,0.66197,0.06333,0.01562,0.00434,3.05641,5.61377,2.23698,0.000671044,0.000671044,0.000671044
22,1575.24,2.57257,3.66661,2.00203,0.63358,0.06333,0.01438,0.00271,2.97803,4.73028,2.38956,0.000649046,0.000649046,0.000649046
